"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"49","TreeMix","Bag","Small","Small","Small",0.515151515151515,0.181051969528198,0.96,0.96,0.972222222222222,0.9375,0.954545454545455
"50","TreeMix","Bag","Small","Small","Mid",0.470588235294118,0.208014011383057,0.92,0.84,0.9,0.9,0.9
"51","TreeMix","Bag","Small","Mid","Small",0.639344262295082,0.222033023834229,0.88,0.88,0.873376623376623,0.883333333333333,0.8783267619517
"52","TreeMix","Bag","Small","Mid","Mid",0.347826086956522,0.234036207199097,0.91,0.64,NA,0.491666666666667,NA
"53","TreeMix","Bag","Mid","Small","Small",0.86219739292365,2.4242091178894,0.944,0.944,0.943451392119078,0.940756885278383,0.942102212062699
"54","TreeMix","Bag","Mid","Small","Mid",0.301818181818182,2.62120699882507,0.953333333333333,0.86,0.848838478704295,0.792910688193707,0.819921966016794
"55","TreeMix","Bag","Mid","Mid","Small",0.225954198473282,3.22316312789917,0.909333333333333,0.864,0.824763479379076,0.747694897694898,0.784340564211724
"56","TreeMix","Bag","Mid","Mid","Mid",0.0740740740740741,4.93035817146301,0.954,0.724,0.725735611506288,0.631781561236176,0.675507296538807
"57","TreeMix","For","Small","Small","Small",0.149425287356322,0.020003080368042,1,1,1,1,1
"58","TreeMix","For","Small","Small","Mid",0.483870967741935,0.0240089893341064,0.98,0.96,0.9375,0.979166666666667,0.957880434782609
"59","TreeMix","For","Small","Mid","Small",0.449275362318841,0.0240011215209961,0.96,0.96,0.916666666666667,0.975,0.944933920704846
"60","TreeMix","For","Small","Mid","Mid",0.444444444444444,0.0340011119842529,0.91,0.64,0.727678571428571,0.729166666666667,0.728421859039837
"61","TreeMix","For","Mid","Small","Small",0.517450682852807,0.246017932891846,0.968,0.968,0.977777777777778,0.948717948717949,0.963028689736764
"62","TreeMix","For","Mid","Small","Mid",0.0775,0.351027965545654,0.948,0.844,0.825376952109274,0.760551054647001,0.791639101817699
"63","TreeMix","For","Mid","Mid","Small",0.305799648506151,0.403031826019287,0.914666666666667,0.872,0.864100661370834,0.82161753590325,0.84232377311454
"64","TreeMix","For","Mid","Mid","Mid",0.15,0.566048145294189,0.950666666666667,0.704,0.623521714620505,0.622752254987862,0.623136747268882
"65","TreeMix","Boo","Small","Small","Small",0.315789473684211,17.9303660392761,0.96,0.96,0.928571428571429,0.973684210526316,0.950592885375494
"66","TreeMix","Boo","Small","Small","Mid",0.454545454545455,18.1444289684296,0.98,0.96,0.975,0.916666666666667,0.944933920704846
"67","TreeMix","Boo","Small","Mid","Small",0.785714285714286,18.501079082489,0.92,0.92,0.918831168831169,0.918831168831169,0.918831168831169
"68","TreeMix","Boo","Small","Mid","Mid",0.529411764705882,19.3492920398712,0.82,0.28,NA,0.441666666666667,NA
"69","TreeMix","Boo","Mid","Small","Small",0.555209953343701,166.955631971359,0.956,0.956,0.953333333333333,0.954879925078601,0.954106002455782
"70","TreeMix","Boo","Mid","Small","Mid",0.301310043668122,189.423584938049,0.964,0.892,0.876489119039429,0.873548726473722,0.875016452550442
"71","TreeMix","Boo","Mid","Mid","Small",0.599552572706935,210.009575843811,0.92,0.88,0.888956985848681,0.870994794679005,0.879884228573112
"72","TreeMix","Boo","Mid","Mid","Mid",0.394957983193277,178.504927158356,0.913333333333333,0.48,NA,0.456517756797102,NA
"73","TreeMix","SVM","Small","Small","Small",0.694915254237288,0.0159909725189209,0.96,0.96,0.973684210526316,0.928571428571429,0.950592885375494
"74","TreeMix","SVM","Small","Small","Mid",0.575757575757576,0.0189888477325439,0.92,0.84,0.835606060606061,0.8125,0.823891059526546
"75","TreeMix","SVM","Small","Mid","Small",0.449275362318841,0.023000955581665,0.72,0.72,0.833333333333333,0.681818181818182,0.75
"76","TreeMix","SVM","Small","Mid","Mid",0.32,0.0280020236968994,0.92,0.68,NA,0.645833333333333,NA
"77","TreeMix","SVM","Mid","Small","Small",0.322751322751323,0.0789890289306641,0.984,0.984,0.983956760466712,0.973874327956989,0.978889582971907
